Cust_ID,ZIP,expected_duration,actual_duration,Job_ID,Technician_ID,Advisor_ID,Date_of_job,Time_of_job,Outlet_code,Channel_code
C_10266,02126,9,11,2,96,8,2017-02-03,16:15:47,13,102
C_10266,02126,12,11,4,184,11,2017-06-28,09:51:24,13,102
C_10266,02126,12,11,4,184,11,2017-08-31,09:51:24,13,102
C_10266,02126,14,15,14,172,8,2017-05-22,11:18:51,13,102
C_10266,02126,14,15,14,172,8,2017-11-30,11:18:51,13,102
C_10267,07087,6,9,9,105,10,2016-07-31,13:58:51,24,105
C_10267,07087,7,12,8,122,40,2016-12-23,14:11:49,24,105
C_10267,07087,7,12,8,122,40,2017-01-22,14:11:49,24,105
C_10267,07087,7,12,8,122,40,2017-03-07,14:11:49,24,105
C_10267,07087,8,9,6,49,31,2016-12-24,13:58:22,24,105
C_10267,07087,8,9,6,49,31,2017-02-28,13:58:22,24,105
C_10267,07087,14,12,18,18,42,2017-02-14,09:27:52,24,105
C_10300,02129,4,10,4,114,26,2017-09-16,09:51:24,18,104
C_10300,02129,4,10,4,114,26,2018-03-07,09:51:24,18,104
C_10300,02129,9,10,16,54,6,2017-12-23,09:49:00,18,104
C_10300,02129,10,11,18,56,31,2017-03-12,09:03:50,18,104
C_10300,02129,12,9,17,139,22,2017-05-12,09:46:36,18,104
C_10300,02129,12,9,17,139,22,2017-11-21,09:46:36,18,104
C_10330,06001,6,12,2,180,35,2016-04-15,13:02:09,1,101
C_10330,06001,6,12,2,180,35,2016-06-22,13:02:09,1,101
C_10330,06001,6,12,6,170,44,2016-11-06,15:21:30,1,101
C_10330,06001,10,12,9,34,28,2016-07-09,13:01:12,1,101
C_10375,02126,7,9,2,40,30,2015-01-25,13:42:02,5,105
C_10375,02126,10,12,18,49,11,2015-05-19,12:34:17,5,105
C_10375,02126,10,12,18,49,11,2015-06-25,12:34:17,5,105
C_10375,02126,11,16,18,127,8,2015-09-20,11:52:58,5,105
C_10375,02126,13,16,15,72,42,2015-09-23,10:26:58,5,105
C_10375,02126,13,16,15,72,42,2015-12-03,10:26:58,5,105
C_10413,02126,7,8,7,122,15,2015-07-05,14:26:14,3,106
C_10413,02126,10,11,6,34,29,2015-02-22,14:25:45,3,106
C_10413,02126,11,15,10,200,29,2015-08-20,14:39:41,3,106
C_10413,02126,11,15,10,200,29,2015-09-14,14:39:41,3,106
C_10413,02126,11,15,10,200,29,2015-10-17,14:39:41,3,106
C_10413,02126,11,15,10,200,29,2016-01-10,14:39:41,3,106
C_10413,02126,12,15,5,12,20,2015-04-11,14:44:01,3,106
C_10413,02126,12,15,5,12,20,2015-08-22,14:44:01,3,106
C_10420,19102,6,15,8,3,6,2015-04-15,14:43:03,14,102
C_10420,19102,8,13,7,163,33,2015-03-14,16:56:09,14,102
C_10420,19102,8,13,7,163,33,2015-10-28,16:56:09,14,102
C_10420,19102,9,12,4,26,44,2015-01-28,15:13:48,14,102
C_10420,19102,14,13,3,146,9,2015-04-29,14:04:08,14,102
C_10448,11103,7,10,19,73,19,2016-12-02,14:33:27,23,106
C_10448,11103,8,18,19,142,37,2017-03-14,09:54:46,23,106
C_10448,11103,15,10,6,93,40,2016-09-07,11:30:23,23,106
C_10448,11103,15,10,6,93,40,2016-09-12,11:30:23,23,106
C_10457,02127,5,10,16,24,9,2017-05-24,16:26:21,18,105
C_10457,02127,5,10,16,24,9,2017-08-24,16:26:21,18,105
C_10457,02127,9,14,13,97,4,2017-05-29,16:35:58,18,105
C_10457,02127,9,14,13,97,4,2017-10-09,16:35:58,18,105
C_10457,02127,11,13,16,136,23,2017-01-23,09:14:53,18,105
C_10496,11213,5,11,15,21,16,2016-05-09,09:23:32,13,101
C_10496,11213,5,11,15,21,16,2016-07-17,09:23:32,13,101
C_10496,11213,10,10,3,163,2,2015-07-21,16:30:12,13,101
C_10496,11213,11,15,3,125,33,2015-10-10,10:27:55,13,101
C_10496,11213,15,15,11,191,26,2015-11-19,11:44:19,13,101
C_10496,11213,15,15,11,191,26,2016-05-09,11:44:19,13,101
C_10527,07620,7,13,14,77,41,2018-09-24,14:51:13,12,102
C_10527,07620,7,13,14,77,41,2018-12-06,14:51:13,12,102
C_10527,07620,8,13,11,109,23,2019-07-09,09:28:49,12,102
C_10527,07620,11,13,7,57,49,2018-09-14,13:18:29,12,102
C_10527,07620,11,13,7,57,49,2019-06-10,13:18:29,12,102
C_10570,02128,8,13,17,14,46,2017-10-15,15:53:12,2,102
C_10570,02128,8,13,17,14,46,2018-06-05,15:53:12,2,102
C_10570,02128,13,13,5,176,16,2018-04-04,14:02:42,2,102
C_10570,02128,13,13,5,176,16,2018-05-23,14:02:42,2,102
C_10570,02128,13,14,4,60,26,2017-08-05,09:49:29,2,102
C_10589,11104,4,15,12,30,44,2019-02-22,15:34:28,24,103
C_10589,11104,10,14,17,146,37,2018-12-07,10:11:35,24,103
C_10589,11104,12,13,18,167,44,2019-03-27,14:37:46,24,103
C_10589,11104,12,13,18,167,44,2019-10-30,14:37:46,24,103
C_10589,11104,15,15,20,113,16,2019-06-21,16:26:50,24,103
C_10589,11104,15,15,20,113,16,2019-07-29,16:26:50,24,103
C_10638,02126,7,14,3,168,12,2018-03-01,12:46:18,19,103
C_10638,02126,7,14,3,168,12,2018-05-23,12:46:18,19,103
C_10638,02126,7,14,3,168,12,2018-07-14,12:46:18,19,103
C_10638,02126,7,14,3,168,12,2018-07-17,12:46:18,19,103
C_10638,02126,13,14,8,156,31,2017-11-18,11:20:46,19,103
C_10638,02126,13,14,8,156,31,2018-08-23,11:20:46,19,103
C_10648,02127,7,15,17,89,5,2016-05-02,14:22:24,22,104
C_10648,02127,7,15,17,89,5,2016-07-08,14:22:24,22,104
C_10648,02127,8,13,8,165,11,2016-01-29,13:24:44,22,104
C_10648,02127,8,13,8,165,11,2016-03-03,13:24:44,22,104
C_10648,02127,8,13,8,165,11,2016-04-29,13:24:44,22,104
C_1066,02128,8,5,6,7,6,2018-03-10,11:19:20,8,103
C_1066,02128,9,15,6,156,10,2017-10-10,09:49:00,8,103
C_1066,02128,9,15,6,156,10,2018-02-25,09:49:00,8,103
C_1066,02128,10,13,4,198,39,2017-06-25,13:05:02,8,103
C_1066,02128,13,15,13,103,39,2018-05-02,09:06:43,8,103
C_10695,19104,8,13,3,61,49,2017-06-26,11:31:21,9,102
C_10695,19104,8,18,2,127,4,2017-02-03,12:30:55,9,102
C_10695,19104,8,18,2,127,4,2017-08-17,12:30:55,9,102
C_10695,19104,10,13,9,131,5,2017-07-19,09:37:28,9,102
C_10695,19104,10,13,9,131,5,2017-08-15,09:37:28,9,102
C_10743,06001,6,14,2,35,11,2015-10-08,13:49:43,8,104
C_10743,06001,6,14,2,35,11,2016-04-01,13:49:43,8,104
C_10743,06001,9,14,7,186,16,2015-06-26,16:24:55,8,104
C_10743,06001,9,14,7,186,16,2015-07-29,16:24:55,8,104
C_10743,06001,11,16,10,115,40,2015-12-03,09:03:50,8,104
C_10750,07620,6,19,10,131,24,2017-03-04,09:39:52,5,102
C_10750,07620,6,19,10,131,24,2017-04-02,09:39:52,5,102
C_10750,07620,6,19,18,102,14,2016-08-03,11:15:58,5,102
C_10750,07620,6,19,18,102,14,2016-09-09,11:15:58,5,102
C_10750,07620,6,19,18,102,14,2016-09-26,11:15:58,5,102
C_10750,07620,6,19,18,102,14,2017-03-24,11:15:58,5,102
C_10750,07620,13,13,16,168,17,2016-07-20,11:24:08,5,102
C_10750,07620,13,13,16,168,17,2017-03-03,11:24:08,5,102
C_10764,19104,9,11,9,97,44,2017-04-22,13:46:50,17,105
C_10764,19104,9,11,9,97,44,2017-05-14,13:46:50,17,105
C_10764,19104,9,11,9,97,44,2017-08-16,13:46:50,17,105
C_10764,19104,10,13,10,12,20,2016-10-27,12:32:51,17,105
C_10764,19104,12,15,20,4,20,2017-09-14,14:32:00,17,105
C_10764,19104,13,11,19,103,31,2016-12-12,16:27:19,17,105
C_10808,02129,14,10,3,56,15,2019-07-08,10:27:55,17,103
C_10808,02129,14,10,3,56,15,2019-08-30,10:27:55,17,103
C_10808,02129,18,15,9,192,28,2019-05-12,14:42:34,17,103
C_10808,02129,18,15,9,192,28,2019-06-07,14:42:34,17,103
C_10816,06001,5,11,19,28,10,2016-03-18,12:36:41,19,104
C_10816,06001,5,11,19,28,10,2016-06-08,12:36:41,19,104
C_10816,06001,11,11,11,191,7,2016-04-20,15:22:56,19,104
C_10816,06001,11,12,16,93,24,2015-07-04,14:55:33,19,104
C_10816,06001,13,15,3,165,9,2015-11-10,15:09:29,19,104
C_10816,06001,13,15,3,165,9,2016-05-16,15:09:29,19,104
C_10838,11104,6,10,8,79,45,2015-07-11,15:21:58,23,104
C_10838,11104,9,13,14,41,23,2016-06-27,15:21:01,23,104
C_10838,11104,14,12,11,104,3,2015-12-06,16:11:28,23,104
C_10838,11104,16,12,13,168,22,2015-11-29,15:09:58,23,104
C_10838,11104,16,12,13,168,22,2016-01-18,15:09:58,23,104
C_10838,11104,16,12,13,168,22,2016-02-14,15:09:58,23,104
C_10842,02128,9,12,10,180,31,2019-05-22,16:25:53,10,106
C_10842,02128,11,6,8,100,22,2018-08-31,12:19:23,10,106
C_10842,02128,11,6,8,100,22,2019-04-11,12:19:23,10,106
C_10842,02128,13,12,8,100,11,2019-05-20,12:02:34,10,106
C_10890,06467,10,16,15,79,20,2015-09-10,15:30:37,7,105
C_10890,06467,10,16,15,79,20,2015-09-27,15:30:37,7,105
C_10890,06467,11,12,1,43,9,2016-03-25,13:17:32,7,105
C_10890,06467,15,12,5,146,35,2015-10-23,16:26:50,7,105
C_10892,02128,9,12,12,124,11,2017-05-07,10:38:01,24,103
C_10892,02128,9,12,12,124,11,2017-05-31,10:38:01,24,103
C_10892,02128,11,12,11,139,13,2017-07-20,14:12:18,24,103
C_10892,02128,11,12,11,139,13,2017-07-31,14:12:18,24,103
C_10892,02128,11,13,4,122,26,2017-01-18,13:43:29,24,103
C_10892,02128,12,17,9,40,3,2017-08-08,10:09:11,24,103
C_10923,02129,6,8,14,116,6,2017-02-12,11:41:55,20,105
C_10923,02129,8,16,11,183,28,2017-03-22,09:40:50,20,105
C_10923,02129,11,16,14,131,46,2017-01-04,16:10:01,20,105
C_10923,02129,11,16,14,131,46,2017-04-27,16:10:01,20,105
C_10923,02129,11,16,14,131,46,2017-10-06,16:10:01,20,105
C_10923,02129,14,19,4,110,40,2016-11-16,10:17:21,20,105
C_10933,02128,8,16,19,17,19,2017-12-21,16:06:11,21,103
C_10933,02128,8,16,19,17,19,2018-04-02,16:06:11,21,103
C_10933,02128,9,13,18,49,39,2018-10-05,16:37:53,21,103
C_10933,02128,11,13,13,185,34,2017-12-21,10:36:05,21,103
C_10933,02128,11,13,13,185,34,2018-05-31,10:36:05,21,103
C_10957,06002,9,13,8,87,32,2017-08-02,14:04:08,4,101
C_10957,06002,11,9,6,120,22,2017-10-24,10:03:25,4,101
C_10957,06002,13,9,1,143,47,2017-04-19,11:45:45,4,101
C_10957,06002,13,9,1,143,47,2017-11-11,11:45:45,4,101
C_11007,19104,7,17,16,78,45,2016-10-17,16:50:23,12,104
C_11007,19104,7,17,16,78,45,2017-05-11,16:50:23,12,104
C_11007,19104,9,15,6,46,5,2017-05-12,09:30:45,12,104
C_11007,19104,11,11,8,81,2,2016-06-01,09:29:18,12,104
C_11007,19104,11,17,15,121,45,2016-07-17,15:06:36,12,104
C_11007,19104,11,17,15,121,45,2016-07-30,15:06:36,12,104
C_11007,19104,11,17,15,121,45,2016-08-27,15:06:36,12,104
C_11007,19104,11,17,15,121,45,2017-04-29,15:06:36,12,104
C_11039,02126,5,14,7,153,40,2018-01-24,11:48:38,15,104
C_11039,02126,5,14,7,153,40,2018-06-06,11:48:38,15,104
C_11039,02126,12,14,18,110,40,2017-11-19,16:31:10,15,104
C_11039,02126,12,14,18,110,40,2017-12-17,16:31:10,15,104
C_11039,02126,12,14,18,110,40,2017-12-22,16:31:10,15,104
C_11039,02126,12,14,18,110,40,2017-12-24,16:31:10,15,104
C_11039,02126,17,15,19,98,24,2018-02-05,16:45:06,15,104
C_11049,06001,7,15,6,159,17,2015-11-15,14:00:46,22,101
C_11049,06001,7,15,6,159,17,2015-12-23,14:00:46,22,101
C_11049,06001,7,15,6,159,17,2016-02-26,14:00:46,22,101
C_11049,06001,9,14,17,4,29,2015-05-17,16:28:17,22,101
C_11049,06001,10,8,19,109,17,2015-07-19,12:20:21,22,101
C_11049,06001,10,15,8,55,45,2016-05-04,11:37:35,22,101
C_1107,11103,9,14,19,135,34,2017-04-28,10:07:16,12,105
C_1107,11103,11,20,14,12,37,2018-02-08,15:12:22,12,105
C_1107,11103,11,20,14,12,37,2018-03-28,15:12:22,12,105
C_1107,11103,13,18,7,32,43,2017-06-29,09:02:24,12,105
C_1107,11103,13,18,7,32,43,2017-11-30,09:02:24,12,105
C_1107,11103,16,20,17,138,14,2018-01-01,14:55:33,12,105
C_11088,06001,6,11,14,117,13,2017-11-25,14:47:23,4,102
C_11088,06001,6,11,14,117,13,2017-12-23,14:47:23,4,102
C_11088,06001,11,15,9,78,6,2017-02-05,12:46:47,4,102
C_11100,07087,6,8,4,73,9,2017-10-22,15:21:01,16,105
C_11100,07087,9,12,7,108,22,2018-01-04,10:51:57,16,105
C_11100,07087,9,12,7,108,22,2018-04-21,10:51:57,16,105
C_11100,07087,11,14,20,157,23,2018-07-26,09:48:02,16,105
C_11100,07087,11,14,20,157,23,2018-07-27,09:48:02,16,105
C_11100,07087,16,14,9,151,8,2018-09-26,15:24:51,16,105
C_11118,07093,5,21,2,182,31,2016-09-09,14:38:15,21,105
C_11118,07093,5,21,2,182,31,2016-12-04,14:38:15,21,105
C_11118,07093,6,21,15,83,3,2016-08-11,11:21:44,21,105
C_11118,07093,8,6,3,31,30,2017-03-16,11:06:50,21,105
C_11124,11214,2,12,8,103,44,2016-07-20,10:56:45,10,102
C_11124,11214,2,12,8,103,44,2016-08-14,10:56:45,10,102
C_11124,11214,9,18,16,104,7,2016-05-12,12:18:26,10,102
C_11124,11214,9,18,16,104,7,2017-02-27,12:18:26,10,102
C_11124,11214,15,12,9,139,39,2017-03-08,16:29:43,10,102
C_11124,11214,17,21,2,146,14,2016-03-10,09:26:54,10,102
C_11143,07608,6,12,19,132,30,2015-12-12,11:37:07,20,103
C_11143,07608,10,15,7,88,20,2015-10-21,12:28:31,20,103
C_11143,07608,11,15,15,40,2,2016-10-03,10:09:11,20,103
C_11143,07608,14,15,11,14,33,2015-12-29,12:52:33,20,103
C_11143,07608,14,15,11,14,33,2016-03-03,12:52:33,20,103
C_11171,06001,6,13,19,32,20,2016-11-01,14:11:21,20,105
C_11171,06001,8,13,18,22,10,2016-09-10,10:31:46,20,105
C_11171,06001,9,13,14,62,45,2017-02-20,15:14:17,20,105
C_11171,06001,9,13,14,62,45,2017-03-31,15:14:17,20,105
C_11171,06001,11,14,17,161,23,2016-06-30,12:06:54,20,105
C_11175,11103,4,11,17,114,33,2018-02-27,09:16:20,4,102
C_11175,11103,4,11,17,114,33,2018-11-17,09:16:20,4,102
C_11175,11103,4,11,17,114,33,2018-11-20,09:16:20,4,102
C_11175,11103,7,11,17,6,6,2018-03-07,13:57:53,4,102
C_11175,11103,10,11,13,35,29,2017-12-10,14:06:32,4,102
C_11210,19106,10,7,15,82,23,2017-08-07,14:24:48,3,105
C_11210,19106,10,7,15,82,23,2017-10-06,14:24:48,3,105
C_11210,19106,11,7,17,136,11,2017-08-02,10:38:01,3,105
C_11226,19106,7,11,18,122,48,2018-10-09,10:41:22,9,105
C_11226,19106,7,14,3,68,36,2019-02-19,13:28:06,9,105
C_11226,19106,9,11,8,41,12,2018-10-29,12:23:43,9,105
C_11226,19106,9,11,8,41,12,2019-02-11,12:23:43,9,105
C_11226,19106,9,11,8,41,12,2019-02-17,12:23:43,9,105
C_11226,19106,9,11,8,41,12,2019-04-17,12:23:43,9,105
C_11248,07620,9,10,8,199,41,2018-04-21,14:15:40,21,106
C_11248,07620,12,14,5,1,17,2018-08-17,13:10:19,21,106
C_11248,07620,12,14,12,61,21,2018-11-04,14:43:03,21,106
C_11248,07620,12,14,12,61,21,2019-03-19,14:43:03,21,106
C_11248,07620,14,14,15,68,3,2018-06-17,12:59:45,21,106
C_11248,07620,14,14,15,68,3,2018-12-23,12:59:45,21,106
C_11281,19104,12,17,19,117,46,2017-02-24,10:38:01,17,103
C_11281,19104,13,10,14,87,5,2016-09-19,11:50:05,17,103
C_11325,06467,5,15,2,149,10,2018-10-14,15:33:59,25,105
C_11325,06467,11,12,18,150,31,2018-07-18,16:46:32,25,105
C_1135,06001,7,19,9,97,28,2017-07-05,11:00:36,11,105
C_1135,06001,8,12,3,38,30,2017-06-26,13:52:36,11,105
C_1135,06001,12,15,8,34,22,2017-01-12,12:57:21,11,105
C_1135,06001,13,19,9,83,11,2017-08-20,12:22:16,11,105
C_1135,06001,13,19,9,83,11,2017-08-30,12:22:16,11,105
C_11362,06479,11,13,1,61,24,2015-11-10,11:52:58,13,103
C_11362,06479,11,23,13,15,31,2015-07-17,12:29:29,13,103
C_11362,06479,13,13,8,150,34,2015-03-27,13:22:20,13,103
C_11362,06479,13,13,8,150,34,2015-07-06,13:22:20,13,103
C_11362,06479,13,13,8,150,34,2015-07-23,13:22:20,13,103
C_11362,06479,13,13,8,150,34,2015-12-17,13:22:20,13,103
C_11373,06002,6,13,9,38,35,2017-01-13,09:02:52,21,105
C_11373,06002,6,13,9,38,35,2017-03-05,09:02:52,21,105
C_11373,06002,6,13,9,38,35,2017-08-23,09:02:52,21,105
C_11373,06002,9,13,10,30,37,2017-04-30,14:03:39,21,105
C_11373,06002,12,16,8,64,10,2016-11-06,12:02:06,21,105
C_11373,06002,13,15,7,126,49,2017-06-09,13:32:54,21,105
C_1139,19106,8,16,3,26,46,2018-03-11,13:23:18,20,101
C_1139,19106,8,17,7,23,10,2018-03-06,13:30:01,20,101
C_1139,19106,10,16,13,73,27,2017-10-23,13:20:54,20,101
C_1139,19106,10,16,13,73,27,2018-04-12,13:20:54,20,101
C_1139,19106,10,16,13,73,27,2018-07-06,13:20:54,20,101
C_1139,19106,13,13,13,62,42,2017-07-16,10:23:36,20,101
C_11404,19104,7,9,6,70,37,2016-12-01,16:56:38,6,102
C_11404,19104,12,8,10,67,16,2017-07-21,13:37:43,6,102
C_11404,19104,12,8,10,67,16,2017-07-26,13:37:43,6,102
C_11423,19106,11,11,9,81,45,2017-10-15,10:51:28,15,104
C_11423,19106,11,13,14,177,24,2017-03-02,16:53:45,15,104
C_11423,19106,11,19,8,2,45,2018-01-16,12:18:26,15,104
C_11423,19106,12,19,17,21,42,2017-10-26,14:18:33,15,104
C_11423,19106,12,19,17,21,42,2017-11-09,14:18:33,15,104
C_11433,07093,8,9,17,102,32,2017-04-25,09:45:09,4,103
C_11433,07093,10,8,19,185,15,2018-01-25,09:14:53,4,103
C_11433,07093,11,15,15,126,3,2017-09-16,16:18:40,4,103
C_11433,07093,11,15,15,126,3,2017-12-22,16:18:40,4,103
C_11433,07093,15,15,8,21,39,2017-07-10,13:42:31,4,103
C_11433,07093,15,15,8,21,39,2017-08-19,13:42:31,4,103
C_11478,19106,7,18,5,53,4,2018-02-28,13:55:00,22,103
C_11478,19106,7,18,5,53,4,2018-07-22,13:55:00,22,103
C_11478,19106,10,18,18,125,22,2018-07-11,12:58:19,22,103
C_11478,19106,10,18,18,125,22,2018-11-11,12:58:19,22,103
C_11478,19106,12,15,10,56,47,2018-06-20,12:09:18,22,103
C_11478,19106,12,16,7,50,11,2017-11-21,12:53:30,22,103
C_11507,06479,7,16,2,6,8,2018-04-26,12:31:53,18,104
C_11507,06479,7,16,2,6,8,2018-11-13,12:31:53,18,104
C_11507,06479,9,13,15,139,16,2017-12-29,11:32:47,18,104
C_11507,06479,13,16,6,46,28,2018-07-12,09:42:45,18,104
C_11554,11103,8,12,11,187,49,2015-05-22,15:00:50,16,103
C_11554,11103,8,12,11,187,49,2015-09-12,15:00:50,16,103
C_11554,11103,10,12,8,50,25,2015-07-20,15:02:45,16,103
C_11554,11103,10,12,8,50,25,2015-10-15,15:02:45,16,103
C_11554,11103,10,12,8,50,25,2016-01-24,15:02:45,16,103
C_11554,11103,17,9,17,161,35,2015-06-14,12:38:37,16,103
C_11579,19106,7,16,18,37,2,2018-01-23,15:50:48,20,104
C_11579,19106,9,11,3,194,21,2018-06-07,11:19:49,20,104
C_11579,19106,9,11,3,194,21,2018-10-13,11:19:49,20,104
C_11579,19106,9,12,6,93,16,2017-11-16,11:59:13,20,104
C_11612,11213,11,15,9,45,46,2016-07-03,11:40:00,1,102
C_11612,11213,12,13,12,197,2,2015-10-10,15:14:46,1,102
C_11612,11213,15,15,16,4,40,2016-05-24,10:42:49,1,102
C_11651,11103,5,5,6,27,42,2015-11-11,13:59:20,18,105
C_11651,11103,7,20,13,31,40,2016-11-02,11:38:04,18,105
C_11651,11103,8,11,10,140,42,2016-08-08,12:45:49,18,105
C_11670,19106,5,9,19,149,32,2017-10-11,15:17:10,13,104
C_11670,19106,5,9,19,149,32,2018-06-21,15:17:10,13,104
