Household_number,Date_of_occupancy,Ownership,Mortgage_Or_Rent,Dwelling_type,House_value_in_K,House_hold_size,Household_income_in_K,House_size,No_of_vehicles,ZIP,LAT,LNG
H82,2005-03-13,false,2490.50530106543,Apartments,345.05223096930166,2,68.4678743784622,620.6999829422381,0,02129,42.379657,-71.061487
H88,2018-08-06,false,2462.9138945242576,Single Family,196.11179609821664,5,111.15167055291194,1779.7859589962818,0,11214,40.599148,-73.99609
H97,1997-08-27,false,2481.374677896712,Apartments,647.3538325778476,2,156.62922667292824,637.5948459900313,3,06479,41.57477,-72.9119
H98,2007-10-09,false,2485.4888441880908,Apartments,550.255248146271,4,154.69530303565784,1582.8986628692016,1,11104,40.744634,-73.920201
H105,2004-12-01,false,2456.134082959432,Single Family,732.1828701742729,6,108.62900159301559,2379.5193626289656,2,07608,40.852997,-74.060355
H110,2001-01-25,false,2475.054444519782,Apartments,480.2097733371584,3,70.92045234395962,1214.813837263278,1,07093,40.788079,-74.011357
H112,2013-10-17,false,2482.60179228447,Single Family,716.240634221094,6,105.98371901052461,2285.1227731343242,1,07087,40.767383,-74.032328
H115,2014-12-02,false,2479.3956767770514,Single Family,340.84860170338214,6,38.201795164253895,2646.6215452450538,1,11213,40.671078,-73.936336
H117,2016-06-15,false,2464.6604107193284,Apartments,412.74430340519785,3,42.05883684525492,866.4677943365568,2,06467,41.567845,-72.899757
H126,2011-02-13,false,2454.493647428232,Single Family,722.4102629185303,5,151.53712390113535,1727.4776094135432,4,07620,40.968725,-73.916999
H135,2005-03-02,false,2481.1759382720697,Single Family,383.1242902697692,6,175.09665994695618,2738.1272989742665,2,19106,39.948629,-75.142789
H143,1989-05-04,false,2471.719481213374,Single Family,349.2647876356951,6,124.24642263557588,2310.8329159290624,1,07093,40.788079,-74.011357
H149,1994-08-20,false,2472.544285565119,Apartments,350.86678759829294,4,136.36050371738702,1405.5292494994324,1,07093,40.788079,-74.011357
H153,1997-05-13,false,2479.25300201716,Apartments,795.5377308523118,3,79.37734730389406,1091.3984450157602,4,07093,40.788079,-74.011357
H161,2001-12-15,false,2474.383497290121,Single Family,459.36689838596243,7,134.35666212909598,2791.454322934387,3,19104,39.95852,-75.198857
H170,1992-10-10,false,2475.8090032531445,Apartments,625.2077048992865,3,70.71562711278554,1158.5235736913648,4,19103,39.952896,-75.174298
H171,1992-10-14,false,2477.101915472919,Apartments,607.2368092325237,3,72.35699578991469,1104.311116059795,0,11213,40.671078,-73.936336
H179,2012-02-14,false,2479.31187295977,Single Family,774.3576510450508,7,74.89504837766022,2799.9584878153833,2,02126,42.274227,-71.097423
H188,1990-02-22,false,2471.7699477924502,Single Family,416.16961253423756,6,54.81737388050348,2557.8404149043326,2,11103,40.762574,-73.913447
H195,2011-07-25,false,2467.806941447592,Apartments,205.83434730130924,3,98.24841739822742,754.0439977505366,3,11213,40.671078,-73.936336
H196,1990-10-04,false,2468.091888959673,Apartments,772.4536056230949,3,89.65411192006125,850.3209868704878,2,06001,41.787159,-72.852046
H201,2001-03-03,false,2460.433977677922,Apartments,791.7385191862197,2,105.03652046376507,697.0352566757107,2,07093,40.788079,-74.011357
H204,2016-09-21,true,2482.692566731556,Apartments,329.7810215124599,3,101.47660784113297,953.0881347053356,3,07087,40.767383,-74.032328
H212,1990-08-19,false,2473.0820317150233,Single Family,432.08943035191055,6,91.34982192865303,2737.9383053101365,1,07087,40.767383,-74.032328
H218,2006-08-07,false,2481.1836299739625,Apartments,772.517222100409,3,83.6946762929274,721.5067396069314,0,07608,40.852997,-74.060355
H226,1995-08-06,true,2489.2384748810896,Single Family,750.1730651959115,6,124.87654610748716,2569.4201915605613,1,07620,40.968725,-73.916999
H232,2014-02-09,false,2478.8105643005083,Single Family,483.96472950385635,6,68.2290361377099,2269.5787785464718,0,19103,39.952896,-75.174298
H235,2018-05-04,false,2477.8880990921825,Single Family,485.5594050924797,7,169.4658953753151,2842.1498283032806,3,07620,40.968725,-73.916999
H237,1999-09-15,false,2467.907307199901,Apartments,607.9447149840036,4,135.29961667024514,1237.565838387467,3,11104,40.744634,-73.920201
H241,2016-02-06,false,2450.3452582930017,Apartments,652.456406229109,2,46.84642893716571,639.5245217004134,2,06467,41.567845,-72.899757
H247,2001-03-02,false,2475.7398975933975,Apartments,400.75635142220926,4,120.28538203563538,1315.6793867194283,2,11213,40.671078,-73.936336
H254,2014-11-23,false,2488.8500640405114,Apartments,566.9308724114563,3,156.36327503820675,861.9314773421842,2,19106,39.948629,-75.142789
H260,2012-12-04,false,2486.790778609052,Single Family,593.992767385698,7,111.91916478399109,2878.676657481896,2,06001,41.787159,-72.852046
H269,1994-02-07,false,2475.523204531729,Apartments,755.8707195068132,4,97.3154875977284,1437.3567051955029,1,11104,40.744634,-73.920201
H273,2003-02-10,false,2465.0048147211323,Single Family,640.9750822379375,5,128.46933480863206,2113.588776824089,3,06001,41.787159,-72.852046
H282,1998-07-19,false,2458.0477129619244,Single Family,220.2687952029659,6,163.56362014918554,2619.767565520681,3,02128,42.361129,-71.006975
H284,1998-08-18,true,2447.783186202487,Single Family,210.60254304597902,6,75.07606120237003,2715.6383766393033,4,11213,40.671078,-73.936336
H286,1989-02-24,false,2475.308335726022,Single Family,386.18385733823095,6,49.96027042712441,2475.823649891321,0,07620,40.968725,-73.916999
H294,2013-09-04,false,2478.8781693648234,Apartments,509.04561875969586,4,37.95272023061038,1555.348084514575,4,11103,40.762574,-73.913447
H301,2003-08-22,true,2447.411664426342,Apartments,394.3659275140326,3,51.771650778632505,1135.2769886872366,3,06002,41.84493,-72.740951
H305,1990-03-28,false,2458.7694021455754,Single Family,621.9766214160596,5,150.77283063094953,1779.9265496924465,2,07620,40.968725,-73.916999
H311,2002-03-26,false,2455.5172983384828,Single Family,696.1338182235747,7,148.3100675585257,2753.1642183367285,2,11213,40.671078,-73.936336
H320,1991-06-07,false,2463.817235357825,Single Family,312.43334269437423,7,76.67019497574823,2816.1029437426387,1,02127,42.334992,-71.039093
H321,1991-11-05,false,2484.3174174127084,Single Family,423.3571449227185,5,113.20526335690833,1773.4166503059007,2,02127,42.334992,-71.039093
H323,1996-06-10,false,2462.3731960877467,Apartments,787.1481022144384,4,158.95637640689915,1303.8829449748487,1,11213,40.671078,-73.936336
H325,2002-12-10,false,2453.3786442035666,Apartments,542.8411686215709,3,91.09244413280346,1010.7663970963198,1,11213,40.671078,-73.936336
H328,2014-12-25,false,2452.9432399884085,Apartments,564.3988681831453,3,35.866590331958946,1165.2610040021555,1,07093,40.788079,-74.011357
H333,2010-07-12,false,2479.2055038800877,Single Family,203.64100849064417,5,77.48720291374786,1731.3412099225857,3,06479,41.57477,-72.9119
H336,1996-11-11,false,2454.3471043310747,Single Family,479.50806718210833,6,144.48575055103908,2580.1513502198177,1,06001,41.787159,-72.852046
H343,2016-06-06,false,2486.37294459569,Single Family,364.7687395604542,7,48.51923542395379,2833.7510625245477,3,02128,42.361129,-71.006975
H346,2008-05-04,false,2455.894035946115,Single Family,604.8378742060456,5,41.97326610930997,1799.9252959319176,4,02127,42.334992,-71.039093
H349,1995-06-06,false,2492.9125922905814,Apartments,317.905925738959,3,89.28992941847432,1192.0000165865595,3,11103,40.762574,-73.913447
H350,2015-07-15,false,2496.0340871462176,Apartments,465.02096565838366,4,105.4326943098296,1325.5583033230532,0,07608,40.852997,-74.060355
H353,2013-12-03,false,2490.8781755375453,Apartments,211.43042193994938,4,160.45127169247445,1245.522689470381,2,06479,41.57477,-72.9119
H360,2018-05-05,true,2470.701766169017,Apartments,547.6877347589382,3,165.28417505366505,950.9140901126299,2,19106,39.948629,-75.142789
H361,1992-09-24,true,2480.3736885963676,Single Family,584.7194068101705,6,117.23890363706805,2369.9640823625527,1,02128,42.361129,-71.006975
H370,2014-01-06,false,2492.501070477705,Single Family,555.7757367741365,7,99.95966644573593,2937.906728309024,3,19104,39.95852,-75.198857
H371,1992-08-24,false,2454.398979109639,Apartments,543.0404422538169,3,178.45919521697365,1015.9939700884678,3,19103,39.952896,-75.174298
H380,1999-05-22,false,2455.4680250451024,Single Family,744.7545725926507,7,131.7080407370595,2879.7918855056046,4,02126,42.274227,-71.097423
H386,2003-11-23,false,2478.6077972540047,Single Family,493.7059194686768,6,155.67408512900255,2502.0752323032752,3,19102,39.952783,-75.165586
H388,2015-03-26,false,2480.7482993737317,Apartments,257.5959786968712,4,90.46621098462329,1404.6104565504274,2,02126,42.274227,-71.097423
H395,1997-04-06,false,2471.9451587931057,Apartments,572.6899989709209,3,148.15807260583858,1176.3848191102697,3,11213,40.671078,-73.936336
H399,2005-07-01,false,2488.948097576135,Apartments,209.8429396852605,2,124.2099881499791,595.6391054519734,1,06479,41.57477,-72.9119
H405,2013-08-24,false,2477.683798124352,Apartments,721.8129894590712,3,98.74559717784726,1042.2976558538949,1,06479,41.57477,-72.9119
H410,2006-11-22,false,2477.2653061539295,Apartments,517.6640230563828,3,38.17225256543806,1009.7448349516627,1,06002,41.84493,-72.740951
H419,2011-04-16,false,2485.1937200204347,Single Family,645.439783838386,5,55.83513537197275,1861.375803621331,4,19106,39.948629,-75.142789
H422,2015-10-23,false,2474.084293262746,Apartments,298.7543171003993,3,50.42405396140156,1122.7790965291292,1,19106,39.948629,-75.142789
H429,1989-11-17,false,2464.4977894304266,Single Family,290.54484316879143,5,89.97656620704464,2056.625408820789,3,07087,40.767383,-74.032328
H430,1988-01-30,false,2480.877378817996,Apartments,525.5013611175211,4,107.81554158252602,1290.9207475456956,2,07608,40.852997,-74.060355
H433,1995-11-11,false,2457.525481078829,Single Family,561.9249813100528,5,174.31281011635718,2131.966361345852,1,06479,41.57477,-72.9119
H435,2016-09-26,false,2490.8410305369,Single Family,515.0622077618893,5,37.31751272371987,2195.3573829924308,0,06001,41.787159,-72.852046
H444,1996-10-28,false,2483.0986319306944,Single Family,792.3289229737088,5,54.86476286519807,2080.062572509937,3,11103,40.762574,-73.913447
H447,1999-11-22,false,2478.1117883453003,Apartments,628.191609206533,3,120.68054961362354,969.4125984366608,1,07093,40.788079,-74.011357
H453,2007-02-08,false,2483.8192461696585,Single Family,483.6835910132326,6,82.193310776566,2669.641814056743,2,19103,39.952896,-75.174298
H456,1994-12-27,false,2461.5607825736934,Single Family,233.56798329352043,5,152.71855343857123,2091.534234778378,1,02129,42.379657,-71.061487
H460,1991-08-22,true,2495.460670456214,Apartments,611.3731245272453,4,144.31429453921047,1293.5418536356897,0,07608,40.852997,-74.060355
H462,1996-08-30,false,2481.7871950434833,Apartments,563.4328393976198,3,84.74747613670583,916.1790805722051,3,07093,40.788079,-74.011357
H465,2001-05-16,false,2459.1762975725424,Single Family,728.4395016583139,5,108.11641820167213,1874.399223520995,3,07608,40.852997,-74.060355
H466,1993-02-22,false,2498.2083567762697,Single Family,277.9954201958448,7,136.9807568969907,2799.104838251254,2,11103,40.762574,-73.913447
H469,1992-09-05,true,2463.6405069286857,Apartments,690.4702929359285,3,62.689613489002575,1154.1842670184042,4,19102,39.952783,-75.165586
H473,1991-11-01,false,2467.806566177486,Apartments,766.8621194709624,2,163.35247147499746,522.8113563173714,1,02127,42.334992,-71.039093
H480,2002-11-05,false,2489.471641320058,Apartments,750.998222347483,3,52.428666815217724,895.8094429539474,3,02126,42.274227,-71.097423
H482,1994-04-06,true,2487.89770278682,Single Family,406.79113998791865,6,106.05104725985352,2725.600272116004,2,19104,39.95852,-75.198857
H488,2016-06-22,true,2468.621893446466,Single Family,400.2111942956318,5,96.06639441821618,1917.5287028480495,2,07093,40.788079,-74.011357
H490,2001-05-17,false,2468.7166420013496,Single Family,348.10806828441673,5,128.3839934797686,1970.029414074945,4,07608,40.852997,-74.060355
H492,2008-03-25,true,2450.500535409909,Single Family,284.2467316303497,7,102.71001376910603,2827.615308539473,3,11104,40.744634,-73.920201
H498,1993-04-21,false,2459.343877691089,Single Family,350.8642750090021,7,179.73213131344656,2979.3509999860203,0,19106,39.948629,-75.142789
H507,2012-08-09,false,2499.0767499228023,Single Family,575.9784837424596,6,83.81713866040423,2675.269105741027,3,02126,42.274227,-71.097423
H514,2017-02-24,false,2488.76999133502,Single Family,328.1961051903473,4,105.7053340056747,1627.1156706939062,2,07093,40.788079,-74.011357
H516,1992-12-25,true,2473.6830511366074,Apartments,734.9874124701572,2,41.93316116671835,602.3678340326337,0,19103,39.952896,-75.174298
H522,2015-11-27,false,2473.085111590564,Single Family,609.7203497546499,5,75.98613555440897,2003.6102261178876,2,19106,39.948629,-75.142789
H525,1996-10-26,false,2473.363071291583,Apartments,175.91155289355714,3,110.01433611290827,896.64099529851,1,06001,41.787159,-72.852046
H534,1988-11-23,false,2471.8716516844024,Single Family,514.2561157469449,6,169.1894991877941,2523.6369135082164,1,06002,41.84493,-72.740951
H536,2003-04-11,false,2450.076067550983,Single Family,615.9823244318875,5,93.64109065997786,2133.29833600173,3,02129,42.379657,-71.061487
H543,2018-05-12,false,2464.151188738715,Single Family,372.7232546675537,7,48.71308805210977,2993.6359678734375,0,06002,41.84493,-72.740951
H544,2009-12-02,false,2478.571459045409,Apartments,779.7557259541079,3,55.259750949540035,755.8817602653905,1,02128,42.361129,-71.006975
H548,2009-12-19,false,2474.3651151882837,Single Family,455.96408539277,5,140.48028240088826,2109.950437141781,2,11213,40.671078,-73.936336
H556,1993-02-28,false,2474.884664834132,Single Family,673.6352171565386,7,42.419894273679944,2816.003722473122,0,07620,40.968725,-73.916999
H564,1990-01-26,false,2492.3768769949897,Apartments,565.1531066079026,2,102.55601704874803,516.6225233040493,2,02127,42.334992,-71.039093
H570,2007-01-28,false,2481.2540229530514,Apartments,544.1390196548571,3,154.45577670168285,902.1667098228409,1,11214,40.599148,-73.99609
H576,1993-05-18,false,2467.1862181716565,Apartments,531.7864151109636,4,44.352154613458445,1365.3243403473662,0,07093,40.788079,-74.011357
H584,2003-09-27,true,2478.680513927584,Single Family,565.1970119108896,6,160.1169157647356,2272.591791235442,4,07093,40.788079,-74.011357
H586,2006-08-23,false,2480.1438046662033,Single Family,749.3191406031278,5,128.93387032482735,2086.5482271910646,3,19102,39.952783,-75.165586
H588,1989-02-18,false,2478.7937812004,Apartments,629.3562581119095,3,36.723236331708364,882.0845505995649,3,02129,42.379657,-71.061487
H595,2011-06-15,false,2471.640487543482,Apartments,226.89009349620335,2,114.33149851721622,472.0243431745453,2,11104,40.744634,-73.920201
H600,1988-12-11,false,2494.2696613129065,Apartments,700.2447692930655,3,118.70827661847532,995.6880241233094,2,02129,42.379657,-71.061487
H608,2010-12-16,false,2471.073788574847,Single Family,689.2336237717661,6,42.684118535441996,2270.372427627967,1,19103,39.952896,-75.174298
H615,1990-02-22,false,2455.1463653543306,Apartments,641.1821843586096,4,115.1397340701933,1458.0636385571145,2,11214,40.599148,-73.99609
H616,1997-02-23,false,2445.748971873515,Apartments,213.53176746822368,4,85.06322510968904,1300.427124847568,1,02128,42.361129,-71.006975
H620,2003-09-23,true,2474.2416607372943,Single Family,188.45425339311598,6,59.45522061163989,2579.14928600597,0,02127,42.334992,-71.039093
H628,1996-04-23,false,2487.288928538781,Single Family,188.2559534078714,5,78.40883954572247,1818.5676659454102,2,11213,40.671078,-73.936336
H630,2016-08-26,false,2469.6770180154167,Single Family,288.584095887669,5,111.22360297991477,1979.2002246608142,3,11104,40.744634,-73.920201
H636,2005-03-15,false,2489.749023935155,Apartments,428.84526780959436,3,166.75914136854416,894.1181216071533,3,02127,42.334992,-71.039093
H640,1989-10-03,false,2493.8625240549727,Apartments,354.36371635588876,3,140.0053231974353,906.4611040574868,1,11103,40.762574,-73.913447
H646,2009-06-25,false,2478.803788777075,Single Family,582.6762210870875,5,169.861202835085,2071.7120795143655,2,19106,39.948629,-75.142789
H652,2016-09-05,false,2494.1524714766824,Apartments,369.45962318329043,2,177.1208082984676,453.66266268944486,2,02126,42.274227,-71.097423
H654,2006-02-09,false,2484.5156207463824,Apartments,464.2099425266564,4,132.948341514773,1305.0145277222364,0,06479,41.57477,-72.9119
H660,2001-07-21,false,2468.2235337440525,Apartments,489.9086125236502,4,51.39240981133419,1456.6127502392105,1,19106,39.948629,-75.142789
H668,2005-12-25,true,2489.9684729012765,Single Family,520.4224047050775,5,164.4837431890775,2195.796211493355,1,19104,39.95852,-75.198857
H674,2008-03-06,false,2492.1345035000004,Single Family,486.6858787391214,5,62.26553749733017,1994.2580922927675,2,02126,42.274227,-71.097423
H680,1995-02-19,false,2486.3065625032154,Apartments,609.8010165368528,3,115.66492269910654,1006.8261676802256,4,11213,40.671078,-73.936336
H686,1988-10-29,true,2450.143899551413,Apartments,291.9970354152489,2,60.468269837368474,680.7508376396056,1,07620,40.968725,-73.916999
H690,2006-10-29,false,2474.1638943180124,Apartments,497.9486041151161,3,93.51540644509745,1142.0126121860987,1,07620,40.968725,-73.916999
H694,2011-06-06,false,2452.9682385936594,Apartments,440.83405239523836,2,65.88002259861072,610.8478666148868,1,06467,41.567845,-72.899757
H697,2009-07-19,false,2459.4228041252286,Apartments,587.4983073244587,3,167.1545738313422,1210.6262053111932,2,19106,39.948629,-75.142789
H703,1991-06-02,false,2475.7395402124475,Apartments,525.2907083023078,4,90.15937647903286,1501.1049855296803,4,02128,42.361129,-71.006975
H710,2018-10-14,false,2447.636504687176,Single Family,694.8889117723435,7,90.92134789096762,2962.0998811299296,1,19103,39.952896,-75.174298
H715,2013-01-31,false,2450.3778446822266,Apartments,793.8770709905216,4,47.05507018994355,1505.08541743889,0,02128,42.361129,-71.006975
H716,2013-04-30,false,2484.203400310242,Single Family,230.06131825603035,4,64.15917254241167,1718.949718325209,0,19106,39.948629,-75.142789
H718,1993-10-24,false,2468.0245308237068,Single Family,484.6580730177483,6,165.083665485936,2636.5606645779176,1,02127,42.334992,-71.039093
H721,1991-04-24,false,2469.9786069990378,Single Family,560.246900914562,6,76.76756137905119,2437.802429487603,0,07087,40.767383,-74.032328
H728,1995-05-16,true,2468.438459955668,Apartments,650.0975302183252,3,125.30999910854817,834.4240119455068,2,02128,42.361129,-71.006975
H731,2004-05-27,false,2483.802269083235,Single Family,249.3661194503211,6,104.84725330318882,2434.671982389764,1,19103,39.952896,-75.174298
H734,2018-03-29,false,2461.9833739324363,Single Family,307.4745422630293,6,153.48512332964467,2716.8218287755203,2,19102,39.952783,-75.165586
H742,2006-01-25,true,2475.4446954647965,Single Family,740.7311817564204,6,137.5618433441158,2652.686278602739,3,19103,39.952896,-75.174298
H746,2004-09-19,false,2498.289122871969,Apartments,381.18968482906484,3,41.46918332062951,903.5046516709612,4,07093,40.788079,-74.011357
H754,2001-11-11,false,2472.837270701425,Single Family,531.5436559817032,6,99.49835824844322,2537.9405614091734,3,06467,41.567845,-72.899757
H755,2009-12-08,false,2468.682718960099,Apartments,603.058491988837,4,153.14806057688594,1559.362604077686,2,11214,40.599148,-73.99609
H760,2013-01-03,false,2439.596504913391,Apartments,176.34450174828223,4,167.51328804113484,1546.4143329873498,0,19104,39.95852,-75.198857
H766,1989-02-25,false,2477.0292266787237,Apartments,707.2412946345459,4,141.41212056738163,1461.8837262292648,0,06002,41.84493,-72.740951
H774,2004-02-02,false,2459.902273644122,Single Family,602.0590212948678,4,144.12041265331212,1658.6435202225675,3,11214,40.599148,-73.99609
H782,2006-06-22,false,2465.00710016155,Single Family,600.0528291243725,7,163.93835843195896,2800.3103237203895,1,06002,41.84493,-72.740951
H786,2015-03-23,false,2468.3380072931973,Apartments,395.4874025869006,4,45.624414432933804,1395.639944100485,3,19104,39.95852,-75.198857
H791,1991-05-20,false,2447.533052237105,Single Family,358.8799371797172,6,73.75492181187964,2637.5973677564707,1,11213,40.671078,-73.936336
H797,2007-06-08,false,2459.583893330957,Single Family,769.1281038733297,6,36.2819561816445,2553.292960366783,0,11214,40.599148,-73.99609
H799,1988-01-24,false,2477.21401771057,Single Family,312.48807960968287,5,172.88551150206558,1892.0323365839845,3,02127,42.334992,-71.039093
H806,1989-11-03,false,2461.606365115231,Single Family,221.64685174960576,6,134.02315422105954,2411.9151455902183,3,07608,40.852997,-74.060355
H809,2006-02-15,false,2454.0618318107495,Single Family,613.3733149661326,5,121.80330783141147,2066.283578902094,1,06002,41.84493,-72.740951
H811,1991-04-13,false,2485.5687308536526,Apartments,479.3801344882976,2,154.57477528547847,493.78657696525977,2,11104,40.744634,-73.920201
H813,2002-06-27,false,2457.2128530420814,Apartments,216.59640760136355,3,169.2671681674692,1156.5191556899035,0,07093,40.788079,-74.011357
H822,2000-06-07,false,2470.4219933312165,Apartments,381.20607071097015,4,107.96639904189577,1335.4398366626235,1,19104,39.95852,-75.198857
H827,2010-08-28,false,2489.861881970989,Single Family,693.884040545148,6,110.18076086476759,2585.495799446304,2,06001,41.787159,-72.852046
H834,1992-06-25,false,2456.5122482848424,Single Family,730.3441997393692,6,47.28752181565158,2391.2828190551218,3,02127,42.334992,-71.039093
H835,2004-02-01,false,2495.971495711961,Single Family,488.18504798800154,5,141.9869878008568,2164.660731252894,1,06002,41.84493,-72.740951
H837,1996-06-22,false,2490.4889634049,Apartments,752.0340881362916,3,42.50241838371478,1084.0917923739096,0,11103,40.762574,-73.913447
H838,1995-09-15,false,2475.228203548182,Single Family,221.39691681487832,4,172.3800955860894,1703.4412283359934,0,11213,40.671078,-73.936336
H840,2002-09-14,false,2452.972454466165,Apartments,605.1625005968754,4,137.06719670305597,1261.381655065909,4,07620,40.968725,-73.916999
H844,2010-02-26,false,2499.3941952805844,Apartments,349.5231212185681,4,179.6469569063107,1397.2062463831248,4,19106,39.948629,-75.142789
H846,1998-10-31,false,2451.054986081326,Single Family,715.2914787865318,5,114.86643006454301,1739.9817935341657,0,11213,40.671078,-73.936336
H849,2009-07-14,true,2468.082360293766,Apartments,488.060432671247,3,87.11280184507288,1170.6633591391083,2,02127,42.334992,-71.039093
H858,1997-04-25,false,2489.5244779981563,Apartments,375.9149407920312,2,161.57296654103507,536.9524372032229,2,07608,40.852997,-74.060355
H867,2015-08-25,false,2479.867110492977,Single Family,265.24760878234275,7,105.10689885794929,2933.5796276053866,0,07608,40.852997,-74.060355
H869,2000-01-05,false,2477.6105979078466,Apartments,268.32366734551215,3,45.301690150571204,1170.7662889445605,4,02127,42.334992,-71.039093
H876,1990-04-09,false,2470.309611142309,Single Family,278.81367462459355,5,128.73763729328937,1932.1644274208682,1,06002,41.84493,-72.740951
H882,1991-03-14,false,2463.317446892804,Apartments,788.0771042518126,2,40.38545113570902,452.2819797560129,2,06479,41.57477,-72.9119
H889,2011-02-05,false,2471.3268741892994,Single Family,608.7523156638322,6,110.99683481028302,2609.7904289710764,1,11214,40.599148,-73.99609
H891,2005-02-24,false,2449.8291661689477,Single Family,599.6039074257665,5,107.1479758052645,1790.1299984259076,1,06001,41.787159,-72.852046
H895,2007-04-04,false,2466.5891827223527,Single Family,555.2067056608871,4,40.23851093176833,1716.1241846495793,2,02129,42.379657,-71.061487
H898,2003-07-26,true,2477.121355818654,Apartments,714.927633591311,3,125.72484693965113,1006.7387983500996,3,07093,40.788079,-74.011357
H900,1988-05-03,false,2457.6971301202766,Apartments,618.8877557792442,3,65.6018472464473,786.4358135256523,3,02126,42.274227,-71.097423
H908,1991-05-05,false,2489.5656381254976,Single Family,217.43486902124442,7,159.7199299973973,2911.2142249920203,1,19106,39.948629,-75.142789
H914,2010-11-07,false,2473.3266445465338,Apartments,531.263954725448,3,71.19133577350497,823.7217726662886,1,11213,40.671078,-73.936336
H916,2009-10-15,false,2448.8991661573655,Single Family,232.17140639108652,6,158.85228715406328,2267.8574582369592,3,07620,40.968725,-73.916999
H917,2018-01-28,false,2473.7847527532035,Apartments,356.5705520701342,3,174.77455144702782,922.2328413230357,1,07093,40.788079,-74.011357
H926,2000-03-26,false,2474.145998935634,Single Family,212.52155809627544,5,109.70966973881212,1738.320436196961,1,19104,39.95852,-75.198857
H934,1998-07-02,false,2489.028592861861,Single Family,516.0896185588331,6,172.9106269758398,2422.603865695267,2,19102,39.952783,-75.165586
H935,1994-10-10,false,2477.051316176568,Apartments,184.65107067495438,4,145.38165215484386,1542.644823585016,2,11104,40.744634,-73.920201
H944,2003-02-25,false,2477.4684035984883,Apartments,327.07777205581476,2,85.04680282020634,457.6509510612296,4,06467,41.567845,-72.899757
H946,1996-07-19,false,2468.758276527567,Single Family,445.5873734502065,7,128.59123233970814,2775.9590603471,3,19102,39.952783,-75.165586
H948,1996-04-28,true,2496.578238411812,Single Family,621.6683636620879,6,133.4986969720016,2514.2680551497756,0,11214,40.599148,-73.99609
H950,2010-04-16,false,2491.064929985846,Apartments,623.7824887459656,4,36.11262689724544,1331.9922147243155,3,19102,39.952783,-75.165586
H953,2016-10-28,false,2485.0092085266274,Apartments,331.3842403867768,2,60.9101749910138,577.0335706869885,1,11104,40.744634,-73.920201
H956,2009-05-07,false,2462.925592608088,Apartments,509.92123867558274,4,114.7788535427028,1410.239738953518,1,11214,40.599148,-73.99609
H962,1995-02-28,false,2476.2922653060114,Single Family,286.97622585642534,5,161.83391525294638,1743.041154342391,2,06467,41.567845,-72.899757
H966,2005-05-03,false,2469.438897933736,Apartments,336.2683783141407,3,160.41092644079123,986.3507540255869,1,19103,39.952896,-75.174298
H973,2008-09-11,false,2491.7584506176604,Apartments,323.8906234011912,4,175.31382089740828,1236.1020191530392,4,06001,41.787159,-72.852046
H981,1991-10-10,false,2439.4578487071467,Single Family,225.11582266078292,7,70.09671788077097,2885.716574234503,3,02128,42.361129,-71.006975
H988,2010-02-25,false,2477.6393634110623,Apartments,301.0833589357319,3,81.62913031688572,1191.4329393599749,2,02126,42.274227,-71.097423
H995,2007-10-02,false,2478.621129376965,Single Family,561.7196394639201,4,71.6078856297838,1601.2847499343545,1,19102,39.952783,-75.165586
