Cust_ID,expected_duration,actual_duration,Date_of_job,Time_of_job,time_rating,LAT,LNG,Job_rating,Cleanliness_rating,Work_Quality_rating,Value_Delivered_rating,Facility_rating
C_10228,9,13,2015-08-22,09:54:46,2.0,42.274227,-71.097423,5.0,1.0,2.0,1.0,1.0
C_10228,10,11,2016-06-01,09:26:54,5.0,39.952783,-75.165586,3.0,2.0,5.0,4.0,3.0
C_10228,11,19,2016-08-07,16:25:53,4.0,42.274227,-71.097423,3.0,4.0,2.0,2.0,1.0
C_10228,11,19,2016-08-10,16:25:53,4.0,40.671078,-73.936336,4.0,1.0,4.0,1.0,3.0
C_10241,6,16,2018-08-20,15:46:00,2.0,41.57477,-72.9119,3.0,3.0,2.0,3.0,1.0
C_10241,6,16,2018-12-18,15:46:00,2.0,41.57477,-72.9119,1.0,2.0,4.0,3.0,4.0
C_10241,7,3,2019-05-14,12:16:59,4.0,41.84493,-72.740951,4.0,2.0,3.0,2.0,3.0
C_10241,7,3,2019-05-27,12:16:59,4.0,39.948629,-75.142789,3.0,1.0,5.0,3.0,3.0
C_10241,12,3,2018-09-14,10:12:33,3.0,39.948629,-75.142789,4.0,3.0,2.0,2.0,1.0
C_10241,12,3,2018-10-02,10:12:33,3.0,40.767383,-74.032328,5.0,2.0,3.0,1.0,1.0
C_10241,12,3,2018-11-22,10:12:33,3.0,40.852997,-74.060355,5.0,3.0,2.0,1.0,1.0
C_10241,12,3,2019-02-03,10:12:33,3.0,41.57477,-72.9119,3.0,3.0,4.0,5.0,2.0
C_10261,9,15,2017-11-26,13:37:14,0.0,41.787159,-72.852046,3.0,2.0,5.0,5.0,2.0
C_10261,9,15,2017-12-12,13:37:14,0.0,40.762574,-73.913447,5.0,1.0,4.0,2.0,3.0
C_10261,9,15,2018-05-26,13:37:14,0.0,40.788079,-74.011357,2.0,3.0,5.0,1.0,4.0
C_10261,14,13,2018-01-03,15:28:13,1.0,39.952896,-75.174298,5.0,1.0,5.0,5.0,1.0
C_10261,14,13,2018-02-01,15:28:13,1.0,42.379657,-71.061487,3.0,4.0,1.0,2.0,2.0
C_10261,15,15,2017-11-02,15:44:05,0.0,40.852997,-74.060355,5.0,3.0,1.0,1.0,2.0
C_10266,7,11,2017-03-26,11:25:35,2.0,40.788079,-74.011357,1.0,2.0,1.0,1.0,2.0
C_10266,7,11,2017-10-15,11:25:35,2.0,40.852997,-74.060355,3.0,3.0,2.0,2.0,2.0
C_10266,7,11,2017-11-04,11:25:35,2.0,40.762574,-73.913447,4.0,1.0,1.0,3.0,5.0
C_10266,7,11,2017-11-24,11:25:35,2.0,39.952783,-75.165586,3.0,4.0,2.0,2.0,4.0
C_10266,9,11,2017-02-03,16:15:47,4.0,42.334992,-71.039093,3.0,5.0,2.0,2.0,2.0
C_10266,12,11,2017-06-28,09:51:24,1.0,42.274227,-71.097423,3.0,1.0,4.0,3.0,3.0
C_10266,12,11,2017-08-31,09:51:24,1.0,39.95852,-75.198857,2.0,3.0,3.0,2.0,3.0
C_10266,14,15,2017-05-22,11:18:51,5.0,40.788079,-74.011357,1.0,5.0,4.0,1.0,5.0
C_10266,14,15,2017-11-30,11:18:51,5.0,40.852997,-74.060355,2.0,3.0,1.0,5.0,1.0
C_10267,6,9,2016-07-31,13:58:51,3.0,40.744634,-73.920201,5.0,3.0,3.0,1.0,1.0
C_10267,7,12,2016-12-23,14:11:49,1.0,39.948629,-75.142789,3.0,3.0,3.0,1.0,5.0
C_10267,7,12,2017-01-22,14:11:49,1.0,42.274227,-71.097423,2.0,5.0,5.0,2.0,3.0
C_10267,7,12,2017-03-07,14:11:49,1.0,40.788079,-74.011357,4.0,3.0,5.0,2.0,3.0
C_10267,8,9,2016-12-24,13:58:22,5.0,39.952896,-75.174298,4.0,3.0,4.0,3.0,4.0
C_10267,8,9,2017-02-28,13:58:22,5.0,39.948629,-75.142789,3.0,5.0,2.0,2.0,1.0
C_10267,14,12,2017-02-14,09:27:52,2.0,41.787159,-72.852046,5.0,1.0,4.0,2.0,3.0
C_10300,4,10,2017-09-16,09:51:24,0.0,41.84493,-72.740951,4.0,5.0,4.0,2.0,3.0
C_10300,4,10,2018-03-07,09:51:24,0.0,42.379657,-71.061487,3.0,3.0,3.0,4.0,4.0
C_10300,9,10,2017-12-23,09:49:00,5.0,41.84493,-72.740951,5.0,5.0,3.0,2.0,2.0
C_10300,10,11,2017-03-12,09:03:50,5.0,42.361129,-71.006975,4.0,1.0,1.0,2.0,2.0
C_10300,12,9,2017-05-12,09:46:36,3.0,40.671078,-73.936336,5.0,4.0,4.0,3.0,3.0
C_10300,12,9,2017-11-21,09:46:36,3.0,40.968725,-73.916999,2.0,1.0,2.0,1.0,1.0
C_10330,6,12,2016-04-15,13:02:09,0.0,42.334992,-71.039093,2.0,4.0,5.0,2.0,3.0
C_10330,6,12,2016-06-22,13:02:09,0.0,40.599148,-73.99609,3.0,3.0,5.0,4.0,2.0
C_10330,6,12,2016-11-06,15:21:30,0.0,40.788079,-74.011357,5.0,3.0,2.0,3.0,1.0
C_10330,10,12,2016-07-09,13:01:12,4.0,40.788079,-74.011357,2.0,3.0,3.0,1.0,5.0
C_10375,7,9,2015-01-25,13:42:02,4.0,39.952783,-75.165586,3.0,3.0,5.0,3.0,4.0
C_10375,10,12,2015-05-19,12:34:17,4.0,42.379657,-71.061487,5.0,2.0,2.0,5.0,2.0
C_10375,10,12,2015-06-25,12:34:17,4.0,40.744634,-73.920201,5.0,2.0,3.0,5.0,4.0
C_10375,11,16,2015-09-20,11:52:58,1.0,42.379657,-71.061487,1.0,1.0,4.0,1.0,3.0
C_10375,13,16,2015-09-23,10:26:58,3.0,39.952896,-75.174298,1.0,1.0,5.0,3.0,3.0
C_10375,13,16,2015-12-03,10:26:58,3.0,40.599148,-73.99609,3.0,3.0,4.0,3.0,5.0
C_10413,7,8,2015-07-05,14:26:14,5.0,42.361129,-71.006975,3.0,2.0,1.0,3.0,5.0
C_10413,10,11,2015-02-22,14:25:45,5.0,42.334992,-71.039093,2.0,1.0,3.0,2.0,2.0
C_10413,11,15,2015-08-20,14:39:41,2.0,40.671078,-73.936336,4.0,2.0,2.0,1.0,2.0
C_10413,11,15,2015-09-14,14:39:41,2.0,40.744634,-73.920201,3.0,3.0,1.0,1.0,5.0
C_10413,11,15,2015-10-17,14:39:41,2.0,42.334992,-71.039093,3.0,3.0,3.0,3.0,3.0
C_10413,11,15,2016-01-10,14:39:41,2.0,40.762574,-73.913447,4.0,5.0,1.0,1.0,2.0
C_10413,12,15,2015-04-11,14:44:01,3.0,39.948629,-75.142789,3.0,4.0,2.0,3.0,1.0
C_10413,12,15,2015-08-22,14:44:01,3.0,42.274227,-71.097423,2.0,2.0,1.0,2.0,1.0
C_10420,6,15,2015-04-15,14:43:03,3.0,41.57477,-72.9119,1.0,4.0,5.0,1.0,3.0
C_10420,8,13,2015-03-14,16:56:09,1.0,39.948629,-75.142789,2.0,3.0,5.0,3.0,4.0
C_10420,8,13,2015-10-28,16:56:09,1.0,39.95852,-75.198857,1.0,4.0,2.0,2.0,2.0
C_10420,9,12,2015-01-28,15:13:48,3.0,42.274227,-71.097423,3.0,4.0,5.0,3.0,4.0
C_10420,14,13,2015-04-29,14:04:08,1.0,40.671078,-73.936336,2.0,4.0,1.0,2.0,4.0
C_10448,7,10,2016-12-02,14:33:27,3.0,40.968725,-73.916999,5.0,2.0,4.0,3.0,1.0
C_10448,8,18,2017-03-14,09:54:46,2.0,40.968725,-73.916999,1.0,5.0,3.0,2.0,1.0
C_10448,15,10,2016-09-07,11:30:23,5.0,41.567845,-72.899757,2.0,4.0,3.0,4.0,3.0
C_10448,15,10,2016-09-12,11:30:23,5.0,39.948629,-75.142789,4.0,4.0,2.0,3.0,1.0
C_10457,5,10,2017-05-24,16:26:21,1.0,42.361129,-71.006975,3.0,2.0,5.0,2.0,5.0
C_10457,5,10,2017-08-24,16:26:21,1.0,39.952896,-75.174298,4.0,1.0,1.0,5.0,4.0
C_10457,9,14,2017-05-29,16:35:58,1.0,42.361129,-71.006975,3.0,3.0,4.0,1.0,3.0
C_10457,9,14,2017-10-09,16:35:58,1.0,39.948629,-75.142789,3.0,4.0,2.0,3.0,3.0
C_10457,11,13,2017-01-23,09:14:53,4.0,42.334992,-71.039093,2.0,3.0,3.0,4.0,3.0
C_10496,5,11,2016-05-09,09:23:32,0.0,40.767383,-74.032328,3.0,5.0,2.0,3.0,2.0
C_10496,5,11,2016-07-17,09:23:32,0.0,42.361129,-71.006975,3.0,3.0,4.0,2.0,4.0
C_10496,10,10,2015-07-21,16:30:12,0.0,39.952896,-75.174298,2.0,5.0,4.0,1.0,4.0
C_10496,11,15,2015-10-10,10:27:55,2.0,39.952783,-75.165586,1.0,4.0,5.0,2.0,3.0
C_10496,15,15,2015-11-19,11:44:19,0.0,39.952896,-75.174298,4.0,2.0,4.0,3.0,4.0
C_10496,15,15,2016-05-09,11:44:19,0.0,40.788079,-74.011357,5.0,1.0,2.0,5.0,1.0
C_10527,7,13,2018-09-24,14:51:13,0.0,41.567845,-72.899757,4.0,1.0,4.0,1.0,1.0
C_10527,7,13,2018-12-06,14:51:13,0.0,40.599148,-73.99609,3.0,1.0,4.0,1.0,3.0
C_10527,8,13,2019-07-09,09:28:49,1.0,39.95852,-75.198857,1.0,2.0,3.0,1.0,2.0
C_10527,11,13,2018-09-14,13:18:29,4.0,41.84493,-72.740951,3.0,3.0,2.0,4.0,5.0
C_10527,11,13,2019-06-10,13:18:29,4.0,40.599148,-73.99609,3.0,3.0,1.0,5.0,2.0
C_10570,8,13,2017-10-15,15:53:12,1.0,41.84493,-72.740951,4.0,5.0,5.0,1.0,3.0
C_10570,8,13,2018-06-05,15:53:12,1.0,39.95852,-75.198857,5.0,1.0,1.0,3.0,1.0
C_10570,13,13,2018-04-04,14:02:42,0.0,40.671078,-73.936336,5.0,2.0,2.0,1.0,2.0
C_10570,13,13,2018-05-23,14:02:42,0.0,40.599148,-73.99609,3.0,5.0,2.0,2.0,1.0
C_10570,13,14,2017-08-05,09:49:29,5.0,42.334992,-71.039093,2.0,2.0,4.0,4.0,4.0
C_10589,4,15,2019-02-22,15:34:28,1.0,40.852997,-74.060355,3.0,3.0,2.0,3.0,3.0
C_10589,10,14,2018-12-07,10:11:35,2.0,41.84493,-72.740951,2.0,3.0,4.0,1.0,3.0
C_10589,12,13,2019-03-27,14:37:46,5.0,40.744634,-73.920201,3.0,2.0,4.0,1.0,5.0
C_10589,12,13,2019-10-30,14:37:46,5.0,40.788079,-74.011357,4.0,2.0,3.0,2.0,2.0
C_10589,15,15,2019-06-21,16:26:50,0.0,39.95852,-75.198857,5.0,2.0,5.0,3.0,4.0
C_10589,15,15,2019-07-29,16:26:50,0.0,41.787159,-72.852046,1.0,3.0,2.0,2.0,1.0
C_10638,7,14,2018-03-01,12:46:18,5.0,42.334992,-71.039093,1.0,3.0,2.0,2.0,1.0
C_10638,7,14,2018-05-23,12:46:18,5.0,41.84493,-72.740951,2.0,2.0,1.0,2.0,2.0
C_10638,7,14,2018-07-14,12:46:18,5.0,40.762574,-73.913447,5.0,2.0,5.0,2.0,2.0
C_10638,7,14,2018-07-17,12:46:18,5.0,40.671078,-73.936336,3.0,1.0,5.0,2.0,4.0
C_10638,13,14,2017-11-18,11:20:46,5.0,40.968725,-73.916999,4.0,4.0,5.0,3.0,3.0
C_10638,13,14,2018-08-23,11:20:46,5.0,39.948629,-75.142789,5.0,5.0,5.0,3.0,4.0
C_10648,7,15,2016-05-02,14:22:24,4.0,40.671078,-73.936336,5.0,3.0,3.0,1.0,1.0
C_10648,7,15,2016-07-08,14:22:24,4.0,42.334992,-71.039093,2.0,4.0,2.0,1.0,2.0
C_10648,8,13,2016-01-29,13:24:44,1.0,40.852997,-74.060355,2.0,3.0,4.0,5.0,4.0
C_10648,8,13,2016-03-03,13:24:44,1.0,40.852997,-74.060355,4.0,3.0,5.0,1.0,3.0
C_10648,8,13,2016-04-29,13:24:44,1.0,42.334992,-71.039093,2.0,3.0,4.0,1.0,3.0
C_1066,8,5,2018-03-10,11:19:20,3.0,41.84493,-72.740951,1.0,1.0,1.0,2.0,1.0
C_1066,9,15,2017-10-10,09:49:00,0.0,41.57477,-72.9119,5.0,4.0,2.0,2.0,1.0
C_1066,9,15,2018-02-25,09:49:00,0.0,40.599148,-73.99609,5.0,4.0,5.0,3.0,4.0
C_1066,10,13,2017-06-25,13:05:02,3.0,41.787159,-72.852046,5.0,2.0,2.0,2.0,1.0
C_1066,13,15,2018-05-02,09:06:43,4.0,42.379657,-71.061487,4.0,4.0,5.0,1.0,4.0
C_10695,8,13,2017-06-26,11:31:21,1.0,40.788079,-74.011357,4.0,1.0,5.0,4.0,3.0
C_10695,8,18,2017-02-03,12:30:55,2.0,42.274227,-71.097423,3.0,4.0,5.0,5.0,4.0
C_10695,8,18,2017-08-17,12:30:55,2.0,39.948629,-75.142789,4.0,5.0,5.0,4.0,3.0
C_10695,10,13,2017-07-19,09:37:28,3.0,40.671078,-73.936336,5.0,5.0,2.0,1.0,1.0
C_10695,10,13,2017-08-15,09:37:28,3.0,40.968725,-73.916999,2.0,3.0,4.0,1.0,3.0
C_10743,6,14,2015-10-08,13:49:43,4.0,40.788079,-74.011357,2.0,3.0,3.0,2.0,1.0
C_10743,6,14,2016-04-01,13:49:43,4.0,39.95852,-75.198857,2.0,5.0,3.0,1.0,2.0
C_10743,9,14,2015-06-26,16:24:55,1.0,39.952783,-75.165586,3.0,1.0,5.0,2.0,4.0
C_10743,9,14,2015-07-29,16:24:55,1.0,40.744634,-73.920201,4.0,1.0,3.0,1.0,1.0
C_10743,11,16,2015-12-03,09:03:50,1.0,41.567845,-72.899757,3.0,2.0,5.0,1.0,4.0
C_10750,6,19,2017-03-04,09:39:52,5.0,39.952783,-75.165586,1.0,2.0,4.0,3.0,3.0
C_10750,6,19,2017-04-02,09:39:52,5.0,40.599148,-73.99609,3.0,3.0,3.0,5.0,1.0
C_10750,6,19,2016-08-03,11:15:58,5.0,39.952783,-75.165586,5.0,3.0,2.0,1.0,3.0
C_10750,6,19,2016-09-09,11:15:58,5.0,40.744634,-73.920201,3.0,2.0,2.0,1.0,2.0
C_10750,6,19,2016-09-26,11:15:58,5.0,40.599148,-73.99609,1.0,1.0,2.0,2.0,1.0
C_10750,6,19,2017-03-24,11:15:58,5.0,41.567845,-72.899757,5.0,4.0,2.0,2.0,1.0
C_10750,13,13,2016-07-20,11:24:08,0.0,39.952896,-75.174298,1.0,1.0,5.0,1.0,4.0
C_10750,13,13,2017-03-03,11:24:08,0.0,41.787159,-72.852046,2.0,5.0,4.0,4.0,5.0
C_10764,9,11,2017-04-22,13:46:50,4.0,42.361129,-71.006975,4.0,1.0,1.0,5.0,5.0
C_10764,9,11,2017-05-14,13:46:50,4.0,42.274227,-71.097423,3.0,3.0,5.0,5.0,2.0
C_10764,9,11,2017-08-16,13:46:50,4.0,39.952783,-75.165586,4.0,2.0,2.0,4.0,2.0
C_10764,10,13,2016-10-27,12:32:51,3.0,40.852997,-74.060355,3.0,1.0,3.0,2.0,1.0
C_10764,12,15,2017-09-14,14:32:00,3.0,41.84493,-72.740951,3.0,3.0,2.0,2.0,1.0
C_10764,13,11,2016-12-12,16:27:19,2.0,42.274227,-71.097423,2.0,5.0,5.0,1.0,2.0
C_10808,14,10,2019-07-08,10:27:55,4.0,40.852997,-74.060355,5.0,1.0,2.0,2.0,5.0
C_10808,14,10,2019-08-30,10:27:55,4.0,40.744634,-73.920201,1.0,2.0,2.0,1.0,1.0
C_10808,18,15,2019-05-12,14:42:34,3.0,42.334992,-71.039093,3.0,3.0,3.0,2.0,5.0
C_10808,18,15,2019-06-07,14:42:34,3.0,39.948629,-75.142789,3.0,1.0,5.0,3.0,4.0
C_10816,5,11,2016-03-18,12:36:41,0.0,39.95852,-75.198857,4.0,2.0,4.0,1.0,3.0
C_10816,5,11,2016-06-08,12:36:41,0.0,40.968725,-73.916999,4.0,2.0,3.0,2.0,3.0
C_10816,11,11,2016-04-20,15:22:56,0.0,40.599148,-73.99609,5.0,2.0,5.0,4.0,4.0
C_10816,11,12,2015-07-04,14:55:33,5.0,39.948629,-75.142789,4.0,2.0,3.0,4.0,5.0
C_10816,13,15,2015-11-10,15:09:29,4.0,41.787159,-72.852046,2.0,3.0,5.0,4.0,3.0
C_10816,13,15,2016-05-16,15:09:29,4.0,40.968725,-73.916999,4.0,5.0,2.0,1.0,1.0
C_10838,6,10,2015-07-11,15:21:58,2.0,39.948629,-75.142789,1.0,2.0,3.0,2.0,1.0
C_10838,9,13,2016-06-27,15:21:01,2.0,42.334992,-71.039093,3.0,1.0,5.0,1.0,3.0
C_10838,14,12,2015-12-06,16:11:28,2.0,40.852997,-74.060355,2.0,5.0,5.0,2.0,3.0
C_10838,16,12,2015-11-29,15:09:58,4.0,41.57477,-72.9119,3.0,3.0,5.0,4.0,4.0
C_10838,16,12,2016-01-18,15:09:58,4.0,40.968725,-73.916999,4.0,2.0,4.0,3.0,3.0
C_10838,16,12,2016-02-14,15:09:58,4.0,40.968725,-73.916999,4.0,2.0,4.0,3.0,3.0
C_10842,9,12,2019-05-22,16:25:53,3.0,40.671078,-73.936336,1.0,2.0,3.0,1.0,3.0
C_10842,11,6,2018-08-31,12:19:23,5.0,41.57477,-72.9119,2.0,1.0,4.0,1.0,3.0
C_10842,11,6,2019-04-11,12:19:23,5.0,40.788079,-74.011357,4.0,1.0,2.0,1.0,1.0
C_10842,13,12,2019-05-20,12:02:34,1.0,39.952783,-75.165586,5.0,1.0,4.0,2.0,2.0
C_10890,10,16,2015-09-10,15:30:37,0.0,41.567845,-72.899757,4.0,1.0,2.0,2.0,2.0
C_10890,10,16,2015-09-27,15:30:37,0.0,41.57477,-72.9119,2.0,3.0,3.0,4.0,4.0
C_10890,11,12,2016-03-25,13:17:32,5.0,39.948629,-75.142789,5.0,2.0,1.0,1.0,3.0
C_10890,15,12,2015-10-23,16:26:50,3.0,42.274227,-71.097423,3.0,4.0,2.0,5.0,1.0
C_10892,9,12,2017-05-07,10:38:01,3.0,41.567845,-72.899757,3.0,3.0,2.0,1.0,3.0
C_10892,9,12,2017-05-31,10:38:01,3.0,40.852997,-74.060355,4.0,3.0,4.0,2.0,3.0
C_10892,11,12,2017-07-20,14:12:18,5.0,39.952783,-75.165586,5.0,1.0,3.0,2.0,1.0
C_10892,11,12,2017-07-31,14:12:18,5.0,40.788079,-74.011357,5.0,4.0,4.0,3.0,3.0
C_10892,11,13,2017-01-18,13:43:29,4.0,40.744634,-73.920201,2.0,2.0,3.0,5.0,2.0
C_10892,12,17,2017-08-08,10:09:11,1.0,42.274227,-71.097423,5.0,4.0,2.0,2.0,1.0
C_10923,6,8,2017-02-12,11:41:55,4.0,39.952896,-75.174298,3.0,3.0,1.0,3.0,1.0
C_10923,8,16,2017-03-22,09:40:50,4.0,40.968725,-73.916999,5.0,2.0,5.0,4.0,1.0
C_10923,11,16,2017-01-04,16:10:01,1.0,42.379657,-71.061487,4.0,1.0,2.0,2.0,2.0
C_10923,11,16,2017-04-27,16:10:01,1.0,40.744634,-73.920201,5.0,3.0,4.0,2.0,3.0
C_10923,11,16,2017-10-06,16:10:01,1.0,41.787159,-72.852046,4.0,4.0,2.0,3.0,2.0
C_10923,14,19,2016-11-16,10:17:21,1.0,41.567845,-72.899757,3.0,2.0,1.0,4.0,1.0
